description,Predicted_Category
"The philosophical study concerned uncovering explaining principles things fundamental ideas people classify world being, time objects.",0
Organise official registration event participants.,0
"Lead, supervise help assistance indoor outdoor recreational educational activities school school holidays.",5
"Develop maintain information access aids databases, digital bibliographies, web pages, software programs online tutorials.",17
Keep broader perspective stay non-attached emotions feelings expressed client counselling sessions.,0
"Use techniques protect metals rust, instance use salt baths.",0
"The software Android consists features, restrictions, architectures characteristics operating systems designed run mobile devices.",17
Give flyers leaflets passers-by street.,0
Adhere procedures work structured systematic manner.,14
"Field information distinguishes nature different types toy materials, wood, glass, plastic, steel, etc.",7
"Manage dispatch software systems execute tasks work order generation, route planning, activities.",17
The power transmission systems use force flowing liquids transmit power.,17
"Decide products (sizes, volumes, types, colours) stocked type size store, depending particular budgets locations.",0
Highlight GIS-issues require special attention. Report issues development regular basis.,0
"Set equipment diagnostic imaging procedures, ensuring room ready patient.",14
Develop shows puppets.,5
Apply story development plot lines edit animations create storyboards render flow animation. Map key scenes develop characters.,17
"Be aware current market studies forecasts concerning supply, demand, trade prices wood related products.",11
"The study teachings interpretations foundational narrative Jewish people, encompassing Jewish traditions culture.",0
"Alternative medicine therapy basis idea patterns characteristics iris represent entire body, physical, mental emotional health conditions seen studying iris.",0
"Types substances main function reduce friction parts surfaces mutual contact oil-based, grease-based, penetrating dry lubricants. They facilitate uninterrupted movement machinery parts. Based type lubricant, perform functions power transmission heat regulation.",11
Make sure pyrotechnic equipment performance set ready operation.,23
"Prepare studies designs railway systems include analyses materials, structural strength, construction processes, calculations, schematics, specifications cost estimates. Examine railway facility studies prepared contractor order ensure compliance stations, roadways, drainage systems, railway structures.",11
Prepare charts graphs order present data visual manner.,17
"Ensure clinical environments, including equipment materials, properly prepared maintained use. Prepare maintain working environments ensure equipment materials available.'",14
"The subdiscipline mathematical logic studies properties well-determined sets objects, relevant mathematics.",0
"Develop meat products result processing methods cured meat cuts, raw-fermented sausages, dried meat products, etc.",0
"Apply laser treatments remove undesirable body hairs, lighten eradicate pigmented lesions, remove tattoos.",0
Collect information vessel's management software cross reference analyse data different points view inform decision-making.,17
Determine pattern advertising timing ads appear media frequency advertisements. Follow scheduling models Continuity pulsing.,17
"Assist psychologists work. Provide assistance treatment patients conducting tests, analysing correct treatment providing therapy. Assist maintaining administrative records patients.",17
Inform client responsible authorities damage occurred prior window cleaning activities.,0
"Tend rolling designed forming hot metal whilst right recrystallisation temperature casting, monitor operate it, according regulations.",0
"Inspect test products, parts materials conformity specifications standards. Discard reject ones meeting specifications.",17
"Open deceased person`s body remove organs examination, interpreting findings context clinical history.",0
"The different elements fields comprising ship's manifest, information cargo, passengers, crew disclosed.",17
"Remove leaves, litter, debris prevent blockages drains sewers.",0
Monitor interpret information provided weather stations anticipate conditions affect airports flights.,11
Manage safely mechanical elements loading unloading cargo stores. Organize stowing unstowing products guarantee stability vessel.,0
Use methods identify approapriate diagnosis conditions similar symptoms.,7
"The specialised techniques design, write, compile, edit organise digital content, text, graphics videos publishing purposes.",7
Apply statistical methods Design Experiments (DOE) Statistical Process Control (SPC) order control manufacturing processes.,17
"Ensure conformance regulatory requirements applied personal care products cosmetics, fragrances toiletry.",11
The prescribed legislative regulatory requirements automotive retail sector.,0
"Advise changes tax policies procedures, implementation new policies national local level.",11
"Take ownership handling complaints disputes showing empathy understanding achieve resolution. Be fully aware Social Responsibility protocols procedures, able deal problematic gambling situation professional manner maturity empathy.",7
Set tests chemical features leather. They include pH content specific substances.,17
"Manage gum conditions diseases, providing periodontal treatment needed monitoring treatment outcomes.",7
Advise education professionals officials development new curricula changes existing curricula.,0
"Respond appropriately emergency cases cleaning streets accidents, manifestations heavy snow fall.",7
